PlayerId,CFOnIce,CAOnIce,CorsiOn,CFOffIce,CAOffIce,CorsiOff,CFOn%,CFOff%,CF%,FFOnIce,FAOnIce,FenwickOn,FFOffIce,FAOffIce,FenwickOff,FFOn%,FFOff%,FF%,xGFOnIce,xGAOnIce,xGOn,xGFOffIce,xGAOffIce,xGOff,xGOn%,xGOff%,xG%
8478099,175.0,204.0,-29.0,727.0,831.0,-104.0,0.46174142480211083,0.46662387676508343,-0.0048824519629726,131.0,144.0,-13.0,553.0,577.0,-24.0,0.4763636363636364,0.4893805309734513,-0.013016894609814922,7.287579084400001,7.677482235299999,-0.3899031508999986,33.9738329864,30.5192680396,3.454564946799998,0.48697288495615015,0.5267824379029883,-0.039809552946838134
8478104,141.0,170.0,-29.0,387.0,533.0,-146.0,0.4533762057877814,0.4206521739130435,0.03272403187473788,106.0,127.0,-21.0,289.0,403.0,-114.0,0.45493562231759654,0.41763005780346824,0.03730556451412831,6.6559365092,8.9758787115,-2.3199422023,17.2143607177,22.7218564951,-5.507495777399999,0.4257942161692175,0.4310463513850933,-0.005252135215875808
8478106,43.0,30.0,13.0,206.0,176.0,30.0,0.589041095890411,0.5392670157068062,0.04977408018360474,27.0,20.0,7.0,149.0,131.0,18.0,0.574468085106383,0.5321428571428571,0.04232522796352589,1.6384256365,0.8569001285,0.7815255080000001,8.0292489311,6.968965282499999,1.0602836486000005,0.6565978917385963,0.5353469964323674,0.1212508953062289
8478109,830.0,823.0,7.0,2188.0,2388.0,-200.0,0.5021173623714459,0.4781468531468531,0.023970509224592762,632.0,671.0,-39.0,1688.0,1901.0,-213.0,0.48503453568687643,0.47032599609919196,0.014708539587684477,34.567383630100004,41.923778633,-7.356395002899994,94.4133561203,111.7973378313,-17.383981711000004,0.45191343166157655,0.4578489811127831,-0.0059355494512065565
8478115,878.0,733.0,145.0,3000.0,2628.0,372.0,0.5450031036623215,0.5330490405117271,0.01195406315059444,669.0,575.0,94.0,2267.0,2006.0,261.0,0.5377813504823151,0.5305406037912473,0.007240746691067779,39.847982014699994,32.484292711799995,7.363689302899999,143.10116230810002,114.00405964660001,29.097102661500003,0.5509018230848075,0.5565859814909296,-0.005684158406122131
8478131,539.0,523.0,16.0,2012.0,1641.0,371.0,0.507532956685499,0.5507801806734192,-0.043247223987920136,400.0,400.0,0.0,1498.0,1275.0,223.0,0.5,0.5402091597547782,-0.040209159754778234,22.2550385144,23.2922694618,-1.0372309474000012,94.9941951645,72.909951528,22.084243636500005,0.4886136964676157,0.5657644378400766,-0.07715074137246086
8478133,814.0,868.0,-54.0,2240.0,2542.0,-302.0,0.4839476813317479,0.46842325386867417,0.015524427463073753,612.0,677.0,-65.0,1643.0,1902.0,-259.0,0.4747866563227308,0.4634696755994358,0.011316980723295011,36.9297835017,41.511585344699995,-4.581801842999994,102.0317312226,121.0323857368,-19.000654514199994,0.47079473554335943,0.4574098811292488,0.013384854414110636
8478136,915.0,1064.0,-149.0,1734.0,2053.0,-319.0,0.46235472460838806,0.4578822286770531,0.004472495931334974,707.0,775.0,-68.0,1308.0,1481.0,-173.0,0.47705802968960864,0.4689852993904625,0.008072730299146125,42.754267149200004,42.4528786492,0.3013885000000016,77.6215010044,81.6839417692,-4.062440764800002,0.501768563523493,0.4872495230104177,0.014519040513075288
8478146,401.0,523.0,-122.0,1659.0,1590.0,69.0,0.43398268398268397,0.5106186518928901,-0.07663596791020616,304.0,367.0,-63.0,1239.0,1201.0,38.0,0.45305514157973176,0.5077868852459017,-0.054731743666169896,17.051977957700004,20.264021959799997,-3.2120440020999936,68.9397580285,74.658927381,-5.719169352500003,0.4569615713205953,0.4800862753854931,-0.023124704064897805
8478147,9.0,28.0,-19.0,138.0,163.0,-25.0,0.24324324324324326,0.4584717607973422,-0.21522851755409894,8.0,27.0,-19.0,107.0,121.0,-14.0,0.22857142857142856,0.4692982456140351,-0.24072681704260654,0.716365677,2.0433747226000003,-1.3270090456000003,6.364833031,7.3612284252,-0.9963953942000003,0.25957719686381764,0.46370424985420955,-0.2041270529903919
