id,name,link,abbreviation,teamName,locationName,firstYearOfPlay,shortName,officialSiteUrl,franchiseId,active,venueName,venueLink,venueCity,venueTimeZoneId,venueTimeZoneOffset,venueTimeZoneTz,divisionId,divisionName,divisionLink,conferenceId,conferenceName,conferenceLink,franchiseFranchiseId,franchiseTeamName,franchiseLink,venueId,season,divisionNameShort,divisionAbbreviation
17,Detroit Red Wings,/api/v1/teams/17,DET,Red Wings,Detroit,1932,Detroit,http://www.detroitredwings.com/,12,True,Little Caesars Arena,/api/v1/venues/5145,Detroit,America/Detroit,-5,EST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,12,Red Wings,/api/v1/franchises/12,5145.0,20102011,,
18,Nashville Predators,/api/v1/teams/18,NSH,Predators,Nashville,1998,Nashville,http://www.nashvillepredators.com/,34,True,Bridgestone Arena,/api/v1/venues/5030,Nashville,America/Chicago,-6,CST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,34,Predators,/api/v1/franchises/34,5030.0,20102011,,
19,St. Louis Blues,/api/v1/teams/19,STL,Blues,St. Louis,1967,St Louis,http://www.stlouisblues.com/,18,True,Enterprise Center,/api/v1/venues/5076,St. Louis,America/Chicago,-6,CST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,18,Blues,/api/v1/franchises/18,5076.0,20102011,,
20,Calgary Flames,/api/v1/teams/20,CGY,Flames,Calgary,1980,Calgary,http://www.calgaryflames.com/,21,True,Scotiabank Saddledome,/api/v1/venues/5075,Calgary,America/Denver,-7,MST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,21,Flames,/api/v1/franchises/21,5075.0,20102011,,
21,Colorado Avalanche,/api/v1/teams/21,COL,Avalanche,Colorado,1995,Colorado,http://www.coloradoavalanche.com/,27,True,Ball Arena,/api/v1/venues/5064,Denver,America/Denver,-7,MST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,27,Avalanche,/api/v1/franchises/27,5064.0,20102011,,
22,Edmonton Oilers,/api/v1/teams/22,EDM,Oilers,Edmonton,1979,Edmonton,http://www.edmontonoilers.com/,25,True,Rogers Place,/api/v1/venues/5100,Edmonton,America/Edmonton,-7,MST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,25,Oilers,/api/v1/franchises/25,5100.0,20102011,,
23,Vancouver Canucks,/api/v1/teams/23,VAN,Canucks,Vancouver,1970,Vancouver,http://www.canucks.com/,20,True,Rogers Arena,/api/v1/venues/5073,Vancouver,America/Vancouver,-8,PST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,20,Canucks,/api/v1/franchises/20,5073.0,20102011,,
24,Anaheim Ducks,/api/v1/teams/24,ANA,Ducks,Anaheim,1993,Anaheim,http://www.anaheimducks.com/,32,True,Honda Center,/api/v1/venues/5046,Anaheim,America/Los_Angeles,-8,PST,6,Pacific,/api/v1/divisions/6,2,Western,/api/v1/conferences/2,32,Ducks,/api/v1/franchises/32,5046.0,20102011,,
25,Dallas Stars,/api/v1/teams/25,DAL,Stars,Dallas,1993,Dallas,http://www.dallasstars.com/,15,True,American Airlines Center,/api/v1/venues/5019,Dallas,America/Chicago,-6,CST,6,Pacific,/api/v1/divisions/6,2,Western,/api/v1/conferences/2,15,Stars,/api/v1/franchises/15,5019.0,20102011,,
26,Los Angeles Kings,/api/v1/teams/26,LAK,Kings,Los Angeles,1967,Los Angeles,http://www.lakings.com/,14,True,Crypto.com Arena,/api/v1/venues/null,Los Angeles,America/Los_Angeles,-8,PST,6,Pacific,/api/v1/divisions/6,2,Western,/api/v1/conferences/2,14,Kings,/api/v1/franchises/14,,20102011,,
